               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.8288,               5.563,              5.2397,           0.0016008,             0.12664,           0.0044399,           0.0010746,                   0,                   0,                   0,             0.07017,           0.0033144,           0.0033144
                   1,              4.3786,              4.6465,              4.5939,            0.037338,             0.23255,            0.023662,           0.0057058,                   0,                   0,                   0,            0.040149,           0.0066258,           0.0066258
                   2,              3.8212,              3.6329,               3.707,             0.19363,             0.30326,             0.16552,            0.044416,                   0,                   0,                   0,            0.010105,           0.0099152,           0.0099152
                   3,               3.451,              3.1066,              3.2278,             0.34903,             0.37438,             0.28466,            0.095664,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   4,              3.1451,              2.7141,              2.9075,             0.42363,             0.38434,              0.3338,             0.11674,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   5,              2.9349,              2.4999,              2.6816,             0.47931,               0.412,             0.40037,             0.14664,                   0,                   0,                   0,            0.009868,            0.009868,            0.009868
                   6,              2.8081,              2.2277,              2.5679,             0.63037,             0.51763,              0.5542,             0.23641,                   0,                   0,                   0,            0.009835,            0.009835,            0.009835
                   7,              2.7243,              2.1307,              2.4774,             0.61052,             0.58398,             0.60194,             0.25638,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                   8,              2.6449,              2.0189,              2.3747,             0.70925,             0.60169,             0.66286,             0.28537,                   0,                   0,                   0,            0.009769,            0.009769,            0.009769
                   9,              2.5685,              1.9452,              2.2947,             0.67917,             0.60572,             0.64337,             0.28509,                   0,                   0,                   0,            0.009736,            0.009736,            0.009736
                  10,              2.5234,              1.9055,               2.262,             0.71468,             0.64102,             0.71489,             0.33669,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  11,              2.4917,              1.8665,              2.2267,             0.73818,             0.61614,             0.70093,             0.31425,                   0,                   0,                   0,             0.00967,             0.00967,             0.00967
                  12,              2.4472,              1.8142,               2.198,             0.69323,             0.61461,             0.66818,             0.30319,                   0,                   0,                   0,            0.009637,            0.009637,            0.009637
                  13,              2.4347,              1.7745,              2.1696,             0.72607,             0.67123,             0.72495,             0.34504,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  14,              2.3954,              1.7398,              2.1598,             0.74999,             0.69023,             0.76458,             0.37754,                   0,                   0,                   0,            0.009571,            0.009571,            0.009571
                  15,              2.3519,              1.6898,              2.1172,             0.77433,             0.69353,             0.76678,             0.37082,                   0,                   0,                   0,            0.009538,            0.009538,            0.009538
                  16,               2.327,              1.6609,              2.0919,             0.74316,             0.68493,             0.75905,             0.37257,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  17,              2.3188,              1.6593,              2.0642,             0.74485,             0.69703,             0.76783,             0.38943,                   0,                   0,                   0,            0.009472,            0.009472,            0.009472
                  18,              2.2853,              1.6237,              2.0781,             0.73377,             0.67221,             0.74419,             0.34518,                   0,                   0,                   0,            0.009439,            0.009439,            0.009439
                  19,              2.2658,              1.5958,              2.0492,             0.72838,             0.66716,             0.72008,             0.34702,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  20,              2.2556,              1.5829,              2.0383,              0.7512,             0.69414,              0.7652,             0.37237,                   0,                   0,                   0,            0.009373,            0.009373,            0.009373
                  21,              2.2414,              1.5609,               1.995,             0.74958,             0.69795,             0.76372,             0.38534,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                  22,              2.2245,              1.5475,              2.0028,             0.78495,             0.72452,             0.79524,              0.4037,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  23,              2.1929,              1.5304,              1.9852,             0.74933,             0.69826,              0.7712,             0.38145,                   0,                   0,                   0,            0.009274,            0.009274,            0.009274
                  24,              2.2044,               1.518,              1.9852,             0.76777,             0.70571,              0.7774,             0.39612,                   0,                   0,                   0,            0.009241,            0.009241,            0.009241
                  25,              2.1816,               1.499,              1.9752,             0.77107,              0.7126,             0.79082,              0.4057,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
