               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.0485,              2.0152,              1.7369,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.07017,           0.0033144,           0.0033144
                   1,              1.8366,              1.2469,               1.644,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.04017,           0.0066473,           0.0066473
                   2,              1.7762,              1.1375,              1.6104,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.010168,           0.0099786,           0.0099786
                   3,              1.7583,               1.084,              1.5917,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099945,           0.0099945,           0.0099945
                   4,              1.7194,              1.0278,              1.5636,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099945,           0.0099945,           0.0099945
                   5,              1.7046,              1.0751,              1.5506,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099902,           0.0099902,           0.0099902
                   6,              1.6877,             0.99252,              1.5449,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099847,           0.0099847,           0.0099847
                   7,              1.6795,             0.99449,              1.5411,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009978,            0.009978,            0.009978
                   8,              1.6749,             0.98948,              1.5428,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099701,           0.0099701,           0.0099701
                   9,              1.6585,             0.97768,              1.5213,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009961,            0.009961,            0.009961
                  10,              1.6526,             0.98004,              1.5214,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099506,           0.0099506,           0.0099506
                  11,              1.6349,             0.96238,              1.5142,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099391,           0.0099391,           0.0099391
                  12,              1.6467,              0.9629,              1.5198,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099263,           0.0099263,           0.0099263
                  13,              1.6545,             0.96604,              1.5222,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0099123,           0.0099123,           0.0099123
