               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.9684,              5.8348,              5.3841,             0.01381,            0.010723,           0.0017664,           0.0005094,                   0,                   0,                   0,             0.07017,           0.0033144,           0.0033144
                   1,              4.6884,              4.9738,              4.9354,            0.089174,             0.18456,            0.044933,            0.011152,                   0,                   0,                   0,             0.04017,           0.0066477,           0.0066477
                   2,              3.7386,              3.4882,              3.5966,             0.31371,             0.35551,             0.27222,            0.085123,                   0,                   0,                   0,             0.01017,           0.0099807,           0.0099807
                   3,              3.1618,              2.6946,              2.8055,             0.45111,             0.41592,             0.36933,             0.12346,                   0,                   0,                   0,           0.0099991,           0.0099991,           0.0099991
                   4,              2.8566,              2.2831,              2.4707,             0.58828,              0.5285,             0.54936,             0.22256,                   0,                   0,                   0,           0.0099991,           0.0099991,           0.0099991
                   5,              2.6829,               2.165,              2.3013,             0.55531,             0.50025,              0.4998,             0.18476,                   0,                   0,                   0,           0.0099984,           0.0099984,           0.0099984
                   6,              2.5752,              1.9471,              2.2144,             0.64338,              0.5614,             0.58943,             0.26819,                   0,                   0,                   0,           0.0099976,           0.0099976,           0.0099976
                   7,              2.4772,              1.8677,              2.1251,             0.66913,             0.62852,              0.6741,             0.31121,                   0,                   0,                   0,           0.0099965,           0.0099965,           0.0099965
                   8,              2.4344,              1.7971,               2.094,             0.71782,             0.64492,             0.71051,              0.3273,                   0,                   0,                   0,           0.0099952,           0.0099952,           0.0099952
                   9,              2.3687,              1.7373,              2.0299,             0.71158,             0.63605,             0.70145,             0.32421,                   0,                   0,                   0,           0.0099937,           0.0099937,           0.0099937
                  10,              2.3352,               1.699,              2.0077,             0.75857,             0.66174,             0.74552,             0.36823,                   0,                   0,                   0,           0.0099921,           0.0099921,           0.0099921
                  11,              2.3035,              1.6462,              1.9845,             0.72827,             0.66274,             0.73419,             0.35523,                   0,                   0,                   0,           0.0099902,           0.0099902,           0.0099902
                  12,              2.2727,              1.6131,               1.962,             0.70653,             0.65909,             0.70803,             0.34275,                   0,                   0,                   0,           0.0099882,           0.0099882,           0.0099882
                  13,              2.2569,              1.5983,              1.9449,             0.75393,             0.70194,             0.76546,             0.37637,                   0,                   0,                   0,           0.0099859,           0.0099859,           0.0099859
                  14,              2.2297,              1.5767,              1.9369,             0.78062,             0.70091,             0.78615,              0.3912,                   0,                   0,                   0,           0.0099835,           0.0099835,           0.0099835
