               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.9684,              5.8348,              5.3841,             0.01381,            0.010723,           0.0017664,           0.0005094,                   0,                   0,                   0,             0.07017,           0.0033144,           0.0033144
                   1,              4.6557,              4.9206,              4.9366,            0.030457,             0.16178,            0.014643,           0.0039838,                   0,                   0,                   0,             0.04017,           0.0066477,           0.0066477
                   2,              3.7667,              3.4701,              3.5861,             0.24192,             0.25836,             0.15602,            0.039569,                   0,                   0,                   0,             0.01017,           0.0099811,           0.0099811
                   3,              3.1856,              2.7084,              2.8288,             0.43561,             0.44593,             0.38596,             0.13673,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   4,              2.8508,              2.2887,              2.4775,             0.57386,             0.50402,             0.52785,             0.20669,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   5,              2.6957,              2.1714,              2.3142,              0.5686,             0.49791,             0.51272,             0.20682,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   6,              2.5719,              1.9582,              2.2186,             0.67333,             0.59299,             0.64701,             0.29051,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   7,              2.4919,              1.8748,              2.1332,             0.67981,             0.65521,             0.69292,             0.31934,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   8,              2.4301,              1.8047,              2.0941,             0.74257,             0.66154,             0.73518,             0.34307,                   0,                   0,                   0,                0.01,                0.01,                0.01
                   9,              2.3729,              1.7329,              2.0284,             0.74319,             0.65763,             0.72185,             0.33499,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  10,               2.346,              1.7035,              2.0115,             0.73459,             0.68353,             0.73843,              0.3542,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  11,              2.2971,              1.6446,              1.9773,             0.73146,             0.67693,             0.74232,             0.33969,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  12,              2.2693,              1.6219,              1.9585,             0.72215,             0.66144,             0.71571,             0.33799,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  13,              2.2596,              1.6042,              1.9479,             0.77346,              0.7116,             0.77974,             0.38849,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  14,              2.2242,              1.5777,              1.9375,             0.78102,             0.71675,             0.78863,              0.4013,                   0,                   0,                   0,                0.01,                0.01,                0.01
                  15,              2.1866,              1.5269,              1.8998,             0.77953,             0.73361,             0.79963,             0.40277,                   0,                   0,                   0,                0.01,                0.01,                0.01
