               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.9684,              5.8348,              5.3841,             0.01381,            0.010723,           0.0017664,           0.0005094,                   0,                   0,                   0,             0.07017,           0.0033144,           0.0033144
                   1,              4.7128,              5.0178,               4.975,             0.15185,             0.16073,             0.05655,            0.014661,                   0,                   0,                   0,            0.040157,           0.0066346,           0.0066346
                   2,               3.799,              3.5704,              3.6878,             0.24974,             0.38231,             0.22179,            0.066749,                   0,                   0,                   0,            0.010131,           0.0099415,           0.0099415
                   3,              3.2044,              2.7156,              2.8407,             0.47531,             0.45606,             0.40714,             0.13979,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,              2.8652,              2.2719,              2.4681,             0.56798,             0.52109,             0.53844,              0.2122,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,              2.6935,              2.1611,              2.2942,             0.63024,             0.52033,             0.55547,             0.22444,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,              2.5741,              1.9496,              2.1981,             0.69006,             0.57068,             0.63195,             0.27571,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   7,              2.4984,              1.8649,               2.121,             0.71131,             0.65467,             0.71521,             0.33685,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,              2.4274,              1.7868,              2.0775,             0.71764,             0.66535,             0.71983,             0.33337,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,              2.3719,              1.7278,              2.0193,             0.68937,             0.63537,             0.69252,             0.31639,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,               2.332,               1.699,              1.9949,             0.75746,             0.67426,             0.74935,             0.36294,                   0,                   0,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,              2.2979,              1.6484,              1.9678,             0.72245,             0.66441,             0.72887,             0.34724,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  12,               2.271,              1.6206,               1.953,             0.74091,             0.66294,             0.73779,             0.36247,                   0,                   0,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,              2.2573,               1.587,              1.9338,             0.76913,             0.70689,              0.7764,             0.38592,                   0,                   0,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,              2.2172,              1.5635,              1.9246,             0.78773,             0.70928,             0.79115,             0.40317,                   0,                   0,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,              2.1857,              1.5267,              1.8916,             0.78508,             0.74192,             0.80864,             0.41363,                   0,                   0,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,              2.1713,              1.5126,              1.8782,             0.78152,             0.70998,              0.7899,             0.40207,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  17,              2.1544,              1.4897,              1.8496,             0.76721,             0.69103,              0.7722,             0.39184,                   0,                   0,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,              2.1391,              1.4756,              1.8725,              0.7631,             0.70311,             0.78146,             0.39538,                   0,                   0,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,              2.1282,              1.4527,              1.8497,             0.75588,             0.72128,              0.7882,             0.40596,                   0,                   0,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,              2.1113,              1.4416,               1.838,             0.78355,             0.70293,             0.78742,             0.41054,                   0,                   0,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,              2.0992,              1.4278,              1.8075,             0.76765,              0.7403,             0.80224,             0.41907,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  22,              2.0751,              1.4048,              1.8143,             0.79975,             0.73387,             0.81826,             0.43254,                   0,                   0,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,              2.0606,              1.3825,              1.7981,             0.78423,             0.73447,             0.80257,             0.42039,                   0,                   0,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,              2.0702,              1.3835,              1.8085,              0.7915,             0.75329,             0.82524,             0.43824,                   0,                   0,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,               2.052,              1.3736,               1.795,             0.78508,             0.73688,             0.81095,             0.42643,                   0,                   0,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,              2.0113,               1.351,              1.7666,             0.81091,             0.75508,             0.83257,             0.44249,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  27,              2.0136,              1.3444,              1.7701,             0.78129,             0.74298,             0.81702,             0.43433,                   0,                   0,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,              2.0066,              1.3374,              1.7722,              0.7777,             0.75256,             0.81569,             0.43768,                   0,                   0,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,              2.0231,              1.3351,              1.7695,             0.78417,             0.75177,             0.82198,             0.43618,                   0,                   0,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,              1.9871,               1.324,              1.7593,             0.80669,             0.76586,             0.83769,             0.44376,                   0,                   0,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,              1.9898,              1.3285,              1.7557,             0.80152,             0.76121,             0.83602,             0.44925,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                  32,              1.9855,              1.2927,              1.7367,             0.81524,             0.77181,             0.83895,               0.449,                   0,                   0,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,              1.9854,              1.2949,              1.7325,             0.80102,             0.76331,             0.83895,             0.45082,                   0,                   0,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,              1.9683,              1.3045,              1.7519,             0.80136,             0.75452,             0.83479,             0.44676,                   0,                   0,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,              1.9576,              1.2916,              1.7318,             0.82033,             0.77897,             0.84993,             0.46408,                   0,                   0,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,              1.9574,                1.27,              1.7195,             0.80426,             0.77223,             0.84585,             0.45789,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                  37,              1.9264,              1.2477,              1.7026,             0.80439,             0.77212,             0.84575,             0.46332,                   0,                   0,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,              1.9305,              1.2601,              1.7153,             0.80823,             0.77381,             0.84387,             0.46373,                   0,                   0,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,              1.9236,              1.2517,              1.7281,             0.78647,             0.77329,             0.82582,              0.4401,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,              1.9117,              1.2285,              1.7033,             0.79444,             0.77562,             0.84145,             0.46038,                   0,                   0,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,              1.9049,              1.2288,              1.6961,             0.82842,             0.77585,             0.85426,             0.47142,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  42,              1.8986,              1.2164,              1.6955,             0.80733,             0.78281,             0.84668,             0.46412,                   0,                   0,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,              1.8998,              1.2207,              1.7018,             0.80642,             0.77715,             0.84306,             0.46501,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,              1.8906,              1.2094,               1.683,             0.81626,             0.77877,             0.84909,             0.47481,                   0,                   0,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,               1.882,              1.2086,              1.6903,             0.79997,             0.78862,             0.84745,             0.46797,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,              1.8813,              1.1895,              1.6794,             0.83352,             0.76702,             0.84823,             0.47127,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  47,              1.8932,              1.1945,                1.68,             0.78385,             0.78349,             0.83354,             0.45184,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,              1.8543,              1.1827,              1.6684,             0.80439,             0.78587,             0.84798,              0.4666,                   0,                   0,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,              1.8489,               1.283,              1.6551,             0.80376,             0.78884,             0.84777,             0.46427,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,               1.849,              1.1818,              1.6564,             0.82346,             0.78442,             0.84919,              0.4718,                   0,                   0,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,              1.8489,              1.1609,               1.668,              0.8121,             0.77457,             0.84713,             0.46442,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  52,              1.8427,              1.1551,              1.6533,             0.80998,              0.7751,             0.84586,             0.46504,                   0,                   0,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,              1.8509,              1.1568,              1.6527,             0.81455,             0.78687,             0.85142,             0.47689,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,              1.8371,              1.1581,              1.6558,             0.82004,             0.77819,             0.85493,             0.48036,                   0,                   0,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,              1.8337,              1.1494,              1.6418,             0.80467,              0.7846,             0.84587,             0.46595,                   0,                   0,                   0,           0.0089308,           0.0089308,           0.0089308
